id,pubdate,headline,title,body
11,2014/3/11,あの日を忘れない 朝から祈り,「津波の教訓伝える」＝海辺で追悼の祈り―東日本大震災から3年,東日本震災から3年を迎えた11日、東北地方の海岸では、早朝から亡くなった肉親や友人をしのぶ大勢の人の姿が見られた。激震とそれに続く津波が穏やかな暮らしを一変させたあの日。人々は経過した年月を思い、静かに手を合わせた。(時事通信)
12,2014/3/4,首相 3月11日「記念日」に,3・11の記念日化を検討＝「震災教訓受け継ぐ」―安倍首相,安倍晋三首相は4日の参院予算委員会で、東日本大震災が発生した3月11日を何らかの記念日として制定するための検討に着手する意向を明らかにした。公明党の若松謙維氏への答弁。(時事通信)
13,2014/2/26,震災関連死 増え続ける背景,原因不明の頭痛、耳鳴り＝長期避難でストレス―福島の女性〔東日本大震災3年〕,「震災関連死」が増え続ける背景には、不自由な避難生活の長期化によるストレス増大がある。福島県では、今も2万8000人が狭い仮設住宅での生活を続け、体調を崩す例が後を絶たない。(時事通信)
14,2013/11/8,九段会館33人死傷 立件見送り,九段会館崩落事故、立件見送り＝起訴求めず送検―東日本大震災で33人死傷・警視庁,東日本大震災で東京都千代田区の九段会館（廃業）の天井が崩落し、33人が死傷した事故で、遺族の告訴を受け業務上過失致死傷容疑で捜査していた警視庁捜査1課と麹町署は8日、会館を運営していた財団法人「日本遺族会」の古賀誠元会長（73）と会館の元総支配人（60）の立件を見送り、起訴を求めない意見書を付けて東京地検に書類送検した。(時事通信)
15,2013/10/29,震災遺構保存の支援策検討へ,震災遺構保存へ支援策＝「惨禍語り継ぐ」―根本復興相,根本匠復興相は29日の閣議後記者会見で、東日本大震災で破壊された建物など「震災遺構」の保存に向けた支援策を11月中にも打ち出す方針を明らかにした。復興相は「まちづくりとの関連や費用負担、住民との合意で整理がついた遺構にどのような支援ができるか事務方に検討を指示した」と述べた。(時事通信)
16,2013/9/11,大震災2年半 なお29万人避難,なお29万人が避難＝原発事故収束見えず―東日本大震災2年半,1万8500人以上の死者・行方不明者を出した東日本大震災は11日、発生から2年半となった。住宅再建が本格化するなど明るい動きが出る半面、岩手、宮城、福島3県などで被災した約29万人は今も避難生活が続く。東京電力福島第1原発がある福島県では、除染の遅れや放射能汚染水漏れ問題が復興に影を落とす。(時事通信)
17,2013/6/23,震災関連死 今も増える現実,【シリーズ復興】震災関連死 今も増える現実,"地震や津波ではなく、避難生活の疲労などで死亡した「震災関連死」が今も増えています。自民党・高市早苗政調会長の発言に関連して改めて注目されました。死者総数は2500人を超え、「助かったはずの命」との声もあります。その実態と対策に迫ります。(Yahoo!みんなの政治)
※これまでの連載【シリーズ復興】はこちら"
18,2013/4/6,女性向け「終活」本 なぜ人気,＜エンディングノート＞オトナ女子向け終活本が話題,いつか来る人生の終わりに備え、自分のことや大切な人へのメッセージなどを記しておくエンディングノート。これまで高齢者向けの印象が強かった分野だが、11年の東日本大震災をきっかけに、30〜40代の“オトナ女子”向けの「Never Ending Note〜未来に残すエンディングノート〜」（集英社）が企画され、昨秋発売された。すぐに重版がかかるほど、売り上げは好調で、同エンディングノートを使ったセミナーが半年の間に3回開催された。同書を手がけた同社女性誌企画編集部の田川久美さんに、制作の背景や人気の理由、その活用術などを聞いた。（毎日新聞デジタル）(毎日キレイ)
19,2013/3/15,北米がれき漂着 4月本格化か,10月までに北米へ22万トン＝漂流がれきで予測修正―環境省,環境省は15日、東日本大震災による津波で海に流れ出たがれきについて、北米西海岸へ到達する時期と量を修正した予測を発表した。壊れた家屋などがれきの到達は4月から本格化し、10月までに22万1000トンに上る見通し。　(時事通信)
20,2013/3/11,大震災2年 被災地で追悼行事,政府が追悼式＝東日本大震災2年【震災2年】,政府主催の「東日本大震災2周年追悼式」が11日午後、東京都千代田区の国立劇場で始まった。天皇、皇后両陛下、安倍晋三首相ら三権の長と犠牲者の遺族代表ら約1200人が参列。大震災が起きた午後2時46分から1分間、黙とうし、犠牲者のめい福を祈った。(時事通信)
21,2013/3/8,福島と沖縄が示す日本の課題,【大震災2年】(6)福島と沖縄が示す日本の課題,東日本大震災による福島原発事故と、日米安保体制における沖縄基地問題。その二つに通底する「犠牲のシステム」の上で戦後日本の「平和」や「豊かさ」が成り立っていると指摘する声があります。福島や沖縄の「痛み」をどうすれば取り除くことができるのか。共通する課題と解決へのヒントをまとめました。(Yahoo!みんなの政治)
22,2013/3/7,復興の「ジレンマ」とは何か,【大震災2年】復興で語られない「ジレンマ」って何？,被災地が直面する、ジレンマというべき「難題」。「スピード重視かじっくり合意か」「東京と被災地の意識の食い違い」。復興の現状やジレンマを、1970年以降に生まれた若き有識者たちが熱く議論しています。(Yahoo!映像トピックス)
23,2013/3/5,復興特需もミスマッチ課題,【大震災2年】（3）復興特需もミスマッチ課題,"　復興需要で雇用改善が進んでいますが、求人と求職のミスマッチ、業界によっては人材不足などの問題も続いています。その中で、地域に根差したビジネスを起業する動きも。雇用の現状をまとめました。
(Yahoo!みんなの政治)"
24,2013/3/4,着工1割 動き出した集団移転,【大震災2年】（2）動き出した集団移転,　「集団移転」が少しずつ動き出しています。住民合意や用地取得の難しさなどによって進行が遅れていましたが、一部自治体で集団移転工事に着手する地区が出てきています。一方で、人口流出や地域コミュニティーの維持の問題も浮き彫りになっています。(Yahoo!みんなの政治)
25,2013/1/11,311 首都圏の人はどう動いた?,震災の日、首都圏の人々はどう動いたか,携帯電話のGPSデータをもとに、東日本大震災時の首都圏の人の流れを可視化。地震直後（映像の「0:47」あたり）から動きが鈍くなることがわかります。この研究データは、今後の災害対策に生かされるそう。(Yahoo!映像トピックス)
26,2012/12/30,震災アーカイブ 一元的に検索,「震災アーカイブ」一元検索可能なサイト開設へ(NHK),
27,2012/11/4,大震災の痕跡、保存か解体か,震災遺構　保存か解体か,東日本大震災の被害を後世に伝える「震災遺構」について、教育・観光資源として保存するか、被災者に配慮して解体するかで意見が分かれ、対応に苦慮する自治体も。その現状は？（Yahoo!みんなの政治）
28,2012/9/11,大震災1年半 今も34万人避難,大震災から1年半＝集団移転足踏み、依然34万人避難―がれき8割が未処理,1万8700人余りの死者・行方不明者を出した東日本大震災は11日、発生から1年半を迎えた。復興に向けた動きが各地で高まりつつある一方で、岩手、宮城、福島の東北3県の住民を中心に、現在も約34万人が仮設住宅や避難先での生活を余儀なくされている。集団移転計画は用地確保で足踏み状態が続き、岩手、宮城両県で発生したがれきは依然8割が未処理のまま。福島県では、東京電力福島第1原発事故が色濃く影を落としている。(時事通信)
29,2012/8/5,震災漂着物対策で日米タッグ,震災漂着物対策でタッグ＝日米NGOが西海岸視察,【キャノンビーチ（米オレゴン州）時事】東日本大震災の津波で発生した大量の漂流物が米西海岸に漂着し始めている問題で、海洋ごみ問題に取り組む一般社団法人JEAN（本部東京都）など日米のNGOや日本政府関係者が4日、連携の方策を探るため、オレゴン州キャノンビーチの海岸を視察した。(時事通信)
30,2012/6/13,避難者34万6987人に 復興庁,避難者34万6987人に＝復興庁,復興庁は13日、東日本大震災に伴う避難者が7日現在で34万6987人になったと発表した。避難者を受け入れている雇用促進住宅での入居者数の把握が進み、5月10日時点の前回調査より5752人増加した。(時事通信)
31,2012/4/26,震災で派遣の医療隊員PTSDに,震災番組、見過ぎで影響も＝1日4時間超でPTSD強く―国の医療派遣170人調査,東日本大震災後の昨年3月に負傷者の手当てや搬送などに従事した国の災害派遣医療チーム（DMAT）約170人を対象とする調査で、現場で感情的に取り乱したことを恥じたり、翌4月時点で1日4時間以上も震災関連のテレビ番組を見ていたりした隊員は、心的外傷後ストレス障害（PTSD）の症状が強かったことが分かった。(時事通信)
32,2012/3/28,全国の震災避難者34万4345人,全国の避難者34万4345人＝復興庁,復興庁は28日、東日本大震災による全国の避難者は22日現在で34万4345人と発表した。仮設住宅などへの入居者の把握が進み、前回調査（8日現在）より55人増えた。(時事通信)
33,2012/3/11,首相 復興は「歴史的使命」,冥福祈り、政府が追悼式＝首相「復興が歴史的使命」―東日本大震災から1年,1万9000人を超える死者・行方不明者を出した東日本大震災から1年を迎えた11日、政府主催の追悼式が国立劇場（東京都千代田区）で営まれた。天皇、皇后両陛下、野田佳彦首相ら三権の長、被害が大きかった岩手、宮城、福島3県の遺族代表ら約1200人が参列。首相は、ふるさと再生への決意を述べた。被災地などでも追悼式を開催。震災発生時刻の午後2時46分、全国の式典会場で参列者らが黙とうをささげ、犠牲者の冥福を祈った。(時事通信)
34,2012/3/11,政府追悼式 天皇陛下も出席,冥福祈り、政府がきょう追悼式＝午後2時46分に黙とうへ―東日本大震災から1年,2万人近くの死者・行方不明者を出した東日本大震災から1年を迎えた11日、政府主催の追悼式が同日午後、国立劇場（東京都千代田区）で営まれる。天皇、皇后両陛下、野田佳彦首相ら三権の長、被害が大きかった岩手、宮城、福島の被災3県の遺族代表ら約1200人が参列。震災発生時刻の同2時46分、参列者全員で黙とうをささげ、犠牲者の冥福を祈る。(時事通信)
35,2012/3/11,震災1年 政府がきょう追悼式,冥福祈り、政府がきょう追悼式＝午後2時46分に黙とうへ―東日本大震災から1年,2万人近くの死者・行方不明者を出した東日本大震災から1年を迎えた11日、政府主催の追悼式が同日午後、国立劇場（東京都千代田区）で営まれる。天皇、皇后両陛下、野田佳彦首相ら三権の長、被害が大きかった岩手、宮城、福島の被災3県の遺族代表ら約1200人が参列。震災発生時刻の同2時46分、参列者全員で黙とうをささげ、犠牲者の冥福を祈る。(時事通信)
36,2012/3/7,震災の教訓、半数が風化懸念,震災の教訓、半数が風化懸念＝生活者の意識調査―電通,電通は7日、東日本大震災から1年がたつのを前に、生活者の意識変化に関する調査結果を発表した。それによると、震災関連の記憶・教訓については半数強の50．2％が「風化してきている、生かせていない」と回答。一方で、再び震災が起きた場合に「うまく対応できる」と答えた人は28．2％にとどまった。震災の教訓を風化させず、全国的な防災の取り組みにどう生かすかが今後の課題となりそうだ。(時事通信)
37,2012/1/20,3.11に国主催の大震災追悼式,3月11日に大震災追悼式＝政府主催、両陛下出席へ,政府は20日午前の閣議で、「東日本大震災1周年追悼式」を3月11日に都内で開催することを決めた。自然災害による追悼式を国が主催するのは初めて。天皇、皇后両陛下のほか、犠牲者の遺族や各界代表が出席する。(時事通信)
38,2011/10/12,全国の震災避難者 7万1578人,全国の避難者7万1578人＝6日現在で―政府調査,政府の東日本大震災復興対策本部は12日、震災による避難者数について、6日現在で7万1578人と発表した。前回の9月22日より1671人減少した。ただし、宮城、福島、千葉各県の全域と岩手県の大部分で仮設住宅への入居者数が把握できておらず、反映されていない。(時事通信)
39,2011/10/10,震災原発で高校中退 3県11人,大震災・原発事故で中退＝東北3県、高校生11人―「家計支える」「通学困難」,東日本大震災や東京電力福島第1原発の爆発事故が原因で、高校を中途退学した生徒が岩手、宮城、福島の3県で計11人いることが分かった。「親の失業で苦しくなった家計を支える」「転居先からの通学が難しい」ためだという。同じ理由で震災以降休学を続けている生徒もおり、雇用環境が改善されない限り今後も退学者が出ることが懸念されている。(時事通信)
40,2011/9/19,被災9市町村 住民税減免せず,9市町村が減免せず＝収入激減被災者の住民税―自治体間で差・大震災,東日本大震災と福島第1原発事故で収入が激減した被災者について、岩手、宮城、福島3県の42市町村のうち9市町村が個人住民税の減額や免除をしていないことが、各自治体への取材で分かった。減免している自治体の間でも対象者の条件に差が生じており、住民からは不公平だとの指摘が出ている。(時事通信)
41,2011/9/11,首相、震災復興の加速を指示,野田首相、震災復興の加速化指示＝政権発足後、初の対策本部,政府は11日、野田政権発足後初めての東日本大震災復興対策本部（本部長・野田佳彦首相）を開いた。首相は冒頭のあいさつで、「いかに復興に向けての作業を加速化するか。やるべきことは見えている。あとは実行のみだ」と述べ、福島第1原発事故の早期収束と震災復興に全力で取り組むよう関係閣僚に指示した。(時事通信)
42,2011/9/10,震災半年 死者不明1万9800人,死者不明者1万9800人＝避難所に依然6800人―11日で半年・東日本大震災,東日本大震災は、巨大地震の発生から11日で半年を迎える。警察庁によると、10日現在で死者・行方不明者は約1万9800人。このほか、不明のまま死亡届が受理され、死者・不明者に含まれない人もいる。避難生活者は47都道府県で約8万2000人。学校や公民館などの避難所には依然、約6800人が生活を続けている。(時事通信)
43,2011/8/10,震災5か月 8万7000人なお避難,8万7000人なお避難生活＝仮設住宅88％完成―東日本大震災、11日で5カ月,東日本大震災は11日、発生から5カ月となる。死者・行方不明者は計2万人以上に上り、全国各地で約8万7000人が避難生活を送っている。(時事通信)
44,2011/7/11,犠牲者 明治三陸地震上回らず,犠牲者 明治三陸地震上回らず (NHK),
45,2011/7/6,全国の避難者、1万3000人減,全国の避難者1万3000人減＝避難所から7000人が退去―政府,"政府の被災者生活支援チームは6日、東日本大震災の避難者が6月30日現在、全国で9万9236人とする調査結果を公表した。前回調査（6月16日現在）と比べ、避難所に身を寄せている人が7115人減り2万4182人となるなど、避難者数は全体で1万3169人減少した。ただし、岩手、宮城、福島3県の仮設住宅への入居者数は集計に含まれていない。(時事通信)
」（7月6日）"
46,2011/6/22,震災の避難者、1万2000人減,全国の避難者1万2000人減＝避難所からの退去が増加―政府,政府の被災者生活支援チームは22日、東日本大震災の避難者が、16日現在、全国で11万2405人とする調査結果を公表した。前回調査（2日現在）と比べ、避難所に身を寄せている人が9846人減り3万1297人となるなど、避難者数は全体で1万2189人減少した。ただし、岩手、宮城、福島3県の仮設住宅入居者の数は判明しておらず、集計に反映されていない。　(時事通信)
47,2011/6/15,避難者は12万4600人 政府集計,全国に12万4600人が避難＝1000以上の市区町村に―政府,政府の被災者生活支援チームは15日、東日本大震災を受け避難した人が、今月2日現在、全国で12万4594人に達するとの調査結果を公表した。各都道府県や市区町村の協力を得て集計したが、岩手、宮城、福島3県の仮設住宅入居者は含まれていない。避難先は47都道府県の1061市区町村に及んでいる。(時事通信)
48,2011/6/10,震災3か月 復興の道筋遠く,復興再生の道筋見えず＝原発事故収束なお不明―課題山積、乏しい成果・震災3カ月,東日本大震災は11日で発生から3カ月。避難生活を送る被災者は依然9万人を超え、福島第1原発からは放射能が漏れ続けている。しかし、戦後最大の危機に直面しながら、政治のリーダーシップが発揮されない。復興財源、原発事故の賠償問題など山積する政策課題を前に与野党は、被災者不在の政争に明け暮れ、菅直人首相は退陣を表明。第1次補正予算成立以外にめぼしい成果はなく、政治不信が深まる中、復興の青写真、原発事故の収束はいまだ見通しが立たない。(時事通信)
49,2011/5/23,24万台被災車両、困難な処理,東日本大震災　２４万台の被害車両、困難な処理,津波による震災被害を受けた車両は岩手、宮城、福島の３県で約２４万台に上ると推計され、各県や被災市町村は廃車処理に頭を痛めている。(毎日新聞)
50,2011/5/19,被災地 土砂災害危険1061か所,東日本大震災　被災５県の土砂災害危険　１０６１カ所,東日本大震災で特に揺れが強かった岩手から茨城にかけての５県が実施中の「土砂災害危険箇所」の緊急点検で、これまでに計１０６１カ所で地面に亀裂が入るなどの異常が見つかった。うち４１カ所は緊急的な工事が必要だが、本格的な対策は梅雨には間に合わず、台風シーズンまでに終わらない所も多いという。既に土砂崩れが発生した所もあり、専門家は「十分な警戒が必要」と話している。(毎日新聞)
51,2011/5/11,震災2か月 いまだ12万人避難,震災発生２カ月　不明９８００人超　１２万人避難,東日本大震災は１１日で発生から２カ月になる。大地震、大津波に東京電力福島第１原発事故が加わった複合災害で１万５０００人近い人が死亡し、行方不明者も１万人に迫る。避難所に身を寄せる住民は岩手、宮城、福島の東北３県を中心に１２万人近くに上る。避難生活の長期化は避けられず、３県は当面必要な仮設住宅を計５万８０００戸と見積もり、建設を急ぐ。(河北新報)
52,2011/5/2,九段会館崩落 古賀氏ら告訴へ,九段会館事故で古賀誠会長ら告訴へ＝天井崩落、2人死亡―遺族ら,東日本大震災で、東京都千代田区九段南の「九段会館」の天井が崩落し2人が死亡するなどした事故で、同会館を運営する財団法人「日本遺族会」の古賀誠会長と同会館の吉田藤男総支配人が崩落の防止義務を怠ったとして、遺族らが来週にも業務上過失致死傷容疑で警視庁麹町署に告訴する方針を固めたことが2日、遺族側の弁護士への取材で分かった。(時事通信)
53,2011/4/28,大震災 各地で四十九日の法要,東日本大震災　安らかに　被災地で四十九日法要,東日本大震災から４９日目に当たる２８日、被災した各地で四十九日の法要が営まれた。津波が大防潮堤を乗り越えた岩手県宮古市の田老地区にある常運寺には約５００人が集まり、約１５０人の犠牲者の名前を読み上げて冥福を祈った。家族の希望で、遺体が確認されないまま供養された人もいるという。(毎日新聞)
54,2011/4/18,原発10km圏 捜索隊員の使命感,地道に手作業、強風で一時退避も＝原発10キロ圏の捜索隊員―福島県警,福島第1原発の事故で、福島県警は半径10キロ圏内の避難指示区域で行方不明者の捜索を続けている。捜索に加わった県警特別機動パトロール隊の大内保史巡査部長（30）は17日、取材に応じ、「放射線への不安がないと言えばうそになるが、家族の安否を案ずる被災者のため地道にやるしかない」と語った。(時事通信)
55,2011/4/16,震災で殉職の警察官、22人に,警察官の死者22人に＝安否不明は8人―警察庁,東日本大震災で、警察庁は16日、住民の避難誘導に向かい、津波にのまれた福島県警双葉署地域交通課の古張文夫巡査部長（53）の死亡を確認したと発表した。これで殉職した警察官は22人となり、依然として8人が安否不明となっている。(時事通信)
56,2011/4/15,原発10km圏 新たに21遺体発見,第1原発10キロ圏、新たに21遺体＝収容で除染必要なし―福島県警,東日本大震災で福島県警は15日、放射能漏れ事故を起こした福島第1原発から10キロ圏内の大規模捜索で、新たに21人の遺体を発見したと発表した。10キロ圏内の大規模捜索が始まった14日と合わせると、計31遺体が見つかった。(時事通信)
57,2011/4/11,発生1か月、各地で鎮魂の祈り,発生1カ月、各地で黙とう＝死者・不明2万7000人超―東日本大震災,東日本大震災は11日、発生から1カ月を迎え、地震が起きた午後2時46分には各地で黙とうがささげられた。死者・行方不明者は2万7493人に上り、被害の全容はいまだ把握されていない。復興への道のりは遠く、依然15万人近くが避難生活を強いられている。(時事通信)
58,2011/4/11,東日本大震災 発生から1か月,発生1カ月、鎮魂の祈り＝死者・不明2万7621人―東日本大震災、復興険しく,国内観測史上最大のマグニチュード9．0を記録した東日本大震災は11日、発生から1カ月を迎えた。津波で甚大な被害を受けた福島第1原発は放射能漏れ事故が起き、危機的状況が続く。死者・行方不明者は2万7621人で、さらに増える見通し。避難者数は依然15万人を超える。(時事通信)
59,2011/4/10,被災全容分からず、復興遠く,原発事故、見えぬ収束＝被災全容分からず、遠い復興―東日本大震災、11日で1カ月,国内観測史上最大のマグニチュード（M）9．0を記録した東日本大震災から11日で1カ月。甚大な被害を受けた福島第1原発は、放射性物質を放出し危機的状況が続くが、収束のめどは立っていない。大津波や地震による死者・行方不明者は、10日の集計で2万7794人（警察庁まとめ）。被災地では捜索が続いており、数はさらに増える見通しだ。避難者数は依然15万人を超える。被害の全容もいまだ把握できておらず、復興までの道のりは遠い。(時事通信)
60,2011/4/8,余震で4人死亡、140人けが,4人死亡、140人けが＝東北260万戸で停電―7日夜の地震・東日本大震災,東日本大震災後で最大の震度6強を観測した地震から一夜明けた8日、東北各県の被害状況が明らかとなり、山形県と宮城県で計4人が死亡、けが人は約140人に上った。東北地方では約261万戸が停電しており、東北電力が復旧に当たっている。気象庁は今後も最大で震度6強の余震の恐れがあるとして、警戒を呼び掛けた。(時事通信)
61,2011/4/8,余震の死者3人、重軽傷166人,東日本大震災　死者３人、重軽傷１６６人　宮城で余震６強,東日本大震災の余震では最大の震度６強となった地震から一夜明けた８日、被災地では被害が次々と判明し、警察庁や各地の病院などによると、３人が死亡し、１６６人が重軽傷を負った。東北地方では正午現在で約２６１万戸が停電し、一部の高速道路で通行止めが続くなど、復旧・復興へ向けた作業への影響も出ている。(毎日新聞)
62,2011/4/8,余震で宮城・山形の3人が死亡,3人死亡、140人けが＝東北300万戸で停電―7日夜の地震・東日本大震災,東日本大震災後で最大の震度6強を観測した地震から一夜明けた8日、東北各県の被害状況が明らかとなり、山形県と宮城県で計3人が死亡、けが人は約140人に上った。東北地方では約304万戸が停電しており、東北電力が復旧に当たっている。気象庁は今後も最大で震度6強の余震の恐れがあるとして、警戒を呼び掛けた。(時事通信)
63,2011/4/6,震災死者、1万2500人超す,死者1万2554人に＝依然16万人避難―東日本大震災,東日本大震災は6日、発生から27日目を迎えた。警察庁の同日午後8時時点のまとめによると、死者は1万2554人、行方不明者は1万5077人で、合わせて2万7631人となった。18都道県の約2300カ所で、約16万人が避難生活を余儀なくされている。(時事通信)
64,2011/4/6,2300か所で依然16万人が避難,死者1万2494人に＝依然16万人避難―東日本大震災,東日本大震災は6日、発生から27日目を迎えた。警察庁の同日午後4時時点のまとめによると、死者は1万2494人、行方不明者は1万5107人で、合わせて2万7601人となった。18都道県の約2300カ所で、約16万1000人が避難生活を余儀なくされている。(時事通信)
65,2011/4/5,5市町で不明者の集計できず,５市町 行方不明者集計できず (NHK),
66,2011/4/1,自衛隊と米軍 沿岸で集中捜索,自衛隊と米軍連携　洋上で震災不明者を集中捜索,自衛隊は１日から３日間、米軍や海上保安庁などと連携し、岩手、宮城、福島の３県の沿岸部から沖合にかけて集中的な捜索に乗り出す。 (朝日新聞)
67,2011/3/31,死者・行方不明者2万7690人に,死者・不明2万7000人超＝発生から21日目―東日本大震災,東日本大震災は31日、発生から21日目を迎えた。警察庁の同日午前10時時点のまとめによると、死者は1万1417人、行方不明者は1万6273人で、合わせて2万7690人となった。17都県の約2000カ所で、17万人以上が避難所生活を余儀なくされている。(時事通信)
68,2011/3/30,発生20日 死者不明2万7601人,死者・不明2万7601人＝発生から20日目−東日本大震災,東日本大震災は30日、発生から20日目を迎えた。警察庁の同日午後3時時点のまとめによると、死者は1万1257人、行方不明者は1万6344人で、合わせて2万7601人となった。17都県の約2000カ所で、17万人以上が避難所生活を余儀なくされている。(時事通信)
69,2011/3/26,死者1万人超 避難者は24万人,死者・不明2万7000人超＝24万人避難、16日目―東日本大震災,東日本大震災は26日、発生から16日目を迎えた。警察庁によると、死者は1万418人、行方不明者は1万7072人となり、合わせて2万7490人となった。(時事通信)
70,2011/3/25,大震災の死者 1万人超える,東日本大震災　死者１万人を超える　未収容の遺体まだ多数,東日本大震災の被災地は２５日、発生から２週間を迎えた。冬のような寒さの中、各地の避難所では約２０万人が避難生活を強いられている。毎日新聞のまとめでは、死者は１万人を超えて１万３５人に上り、１万７４４３人が行方不明。大量のがれきに阻まれ、浸水したままの地域もあることから、収容されていない遺体が多数あり、死者・行方不明者はさらに増える恐れが強い。戦後最悪の自然災害の全容は、いまだに明らかにならないままだ。(毎日新聞)
71,2011/3/25,震災犠牲者、大幅増のおそれ,震災の犠牲者 大幅増のおそれ (NHK),
72,2011/3/23,震災 死者・不明者2万5千人超,死者・不明2万5000人超に＝避難26万人、14日目―東日本大震災,東日本大震災は24日、発生から14日目を迎えた。警察庁によると、23日午後11時時点で、死者は9523人、行方不明者は1万6094人となり、合わせて2万5617人となった。甚大な被害を受けた東北地方の太平洋沿岸部を中心に、なお約25万6700人が避難所生活を送っている。(時事通信)
73,2011/3/21,死者8400人超 避難所に35万人,死者8400人超＝避難35万人、11日目―東日本大震災,東日本大震災は21日、発生から11日目を迎えた。警察庁によると、死者は20日午後11時現在で8450人、行方不明者は1万2909人で、合わせて2万1359人となった。甚大な被害を受けた東北地方の太平洋沿岸部を中心に、約35万人が避難所生活を強いられている。(時事通信)
74,2011/3/19,死者6900人超、戦後最悪に,東日本大震災　死者６９１１人「阪神」超える…戦後最悪に,国内観測史上最大の巨大地震に襲われた東日本大震災の被災地は１８日、発生から１週間を迎えた。近く仮設住宅の建設が始まるなど復興へ向けた動きも出始めたが、物資不足が続く。被災者の厳しい状況は変わらず、約３８万人が不便な避難所生活を強いられている。死者は６９１１人に上り、阪神大震災（死者６４３４人）を超えて戦後最悪の自然災害となった。(毎日新聞)
75,2011/3/18,被災1週間 被害の全容は不明,被災1週間、被害の全容不明＝市民生活崩壊、原発事故も影響―東日本大震災,東日本大震災は18日午後、発生から丸1週間を迎える。大津波に見舞われた東北の太平洋沿岸部の被害は甚大で、死者・行方不明者は1万6000人を超えた。震災被害は日を追うごとに増え、全容は依然分かっていない。燃料などの物資不足は解消されず、被災地の市民生活や経済活動に重大な影響が出ている。さらに、福島第1原発事故が周辺地域に深刻な影響を与えている。(時事通信)
